get ready,get ready,10,blue
warm up,hang,15,orange
warm up,rest,10,red
warm up,hang,15,orange
warm up,rest,10,red
set 1,hang,15,orange
set 1,rest,10,red
set 1,hang,15,orange
set 1,rest,10,red
set 1,hang,15,orange
set 1,rest,10,red
set 1,hang,15,orange
set 1,long rest,300,red
set 2,hang,15,orange
set 2,rest,10,red
set 2,hang,15,orange
set 2,rest,10,red
set 2,hang,15,orange
set 2,rest,10,red
set 2,elevated hang,15,orange
set 2,long rest,300,red
set 3,hang,15,orange
set 3,rest,10,red
set 3,hang,15,orange
set 3,rest,10,red
set 3,hang,15,orange
set 3,rest,10,red
set 3,hang,15,orange
set 3,long rest,300,red
,,,
,,,
,,,
,,,
,,,
,,,
,,,
